"Company: ","Affirm Holdings Inc (AFRM:US)","","","","",""
"pretax_income_per_share","-0.57","-0.53","-2.78","-2.57","-3.35","-2.22"
"fcf_per_share","-0.51","-0.44","-1.34","-0.88","-0.37","0.9"
"book_value_per_share","-1.25","-1.75","16.17","9.289999999999999","8.58","8.390000000000001"
"tangible_book_per_share","-1.25","-1.77","12.5","7.1","6.63","6.63"
"payout_ratio","","","","","",""
"revenue_growth","","0.93","0.71","0.55","0.18",""
"gross_profit_growth","","1.17","0.62","0.41","-0.08",""
"ebitda_growth","","0.31","-3.71","-1.39","-0.14",""
"operating_income_growth","","0.26","-3.39","-1.41","-0.23",""
"pretax_income_growth","","0.07000000000000001","-2.95","-0.63","-0.36",""
"net_income_growth","","0.07000000000000001","-2.92","-0.6","-0.39",""
"eps_diluted_growth","","0.07000000000000001","-3.83","0.15","-0.33",""
"shares_diluted_growth","","","-0.24","0.77","0.05",""
"cash_and_equiv_growth","","-0.17","4.49","-0.14","-0.29",""
"ppe_growth","","0.43","1.5","0.85","0.44",""
"total_assets_growth","","0.22","2.47","0.43","0.17",""
"total_equity_growth","","-0.39","8.02","0.02","-0.03",""
"cfo_growth","","0.19","-1.71","0.16","1.08",""
"capex_growth","","-0.08","0.04","-3.26","-0.4",""
"fcf_growth","","0.14","-1.31","-0.16","0.5600000000000001",""
"shares_eop","209.973","242.747","269.358","287.365","296.846","309.12"
"dividends","","","","","",""
"price_to_earnings","","","-41.13","-7.34","-4.62","-16.94"
"price_to_book","","","7.04","1.98","1.8","4.38"
"price_to_sales","","","20.84","3.85","2.87","5.45"
"price_to_tangible_book","","","9.109999999999999","2.6","2.33","5.55"
"price_to_fcf","","","-85.02","-20.89","-41.91","41.17"
"market_cap","","","18141.2613","5189.8119","4550.64918","11496.12588"
"period_end_price","","","67.34999999999999","18.06","15.33","15.33"
