"Company: ","Fortrea Holdings Inc. (FTRE:US)","","","",""
"tangible_book_per_share","","2.76","5.9","-11.96","-9.460000000000001"
"payout_ratio","","","","",""
"revenue_growth","","0.18","0.01","",""
"gross_profit_growth","","0.24","0.07000000000000001","-0.2",""
"ebitda_growth","","0.36","0.22","-0.5",""
"operating_income_growth","","0.32","1.05","-0.68",""
"pretax_income_growth","","1.41","0.74","-1",""
"net_income_growth","","1.27","0.97","-1.02",""
"eps_diluted_growth","","1.27","0.97","-1.02",""
"shares_diluted_growth","","","","",""
"cash_and_equiv_growth","","","0.18","-0.03",""
"ppe_growth","","","0.01","0.34",""
"total_assets_growth","","","-0.02","0.02",""
"total_equity_growth","","","0.03","-0.48",""
"cfo_growth","","-0.15","-0.48","0.91",""
"capex_growth","","-0.1","-1.05","0.26",""
"fcf_growth","","-0.19","-0.77","2.84",""
"shares_eop","88.40000000000001","88.40000000000001","88.8","88.8","89.37"
"dividends","","","","",""
"price_to_earnings","","","","-911.51","-29.45"
"price_to_book","","","","1.78","2.25"
"price_to_sales","","","","1","1.19"
"price_to_tangible_book","","","","-2.92","-4.25"
"price_to_fcf","","","","24.38","32.5"
"market_cap","","","","3099.12","3587.47236"
"period_end_price","","","","34.9","34.9"
